regional_distrito,año_lectivo,abandono_inicial,promovido_inicial,reprobado_inicial,abandono_primario,promovido_primario,reprobado_primario,abandono_secundario,promovido_secundario,reprobado_secundario,tipo,regional,distrito
TOTAL,2021-2022,1.6,98.4,0.0,2.3,91.7,6.0,5.2,88.6,6.1,total,,
01 - BARAHONA,2021-2022,1.6,98.4,0.0,5.0,84.9,10.0,8.9,83.7,7.3,regional,01 - BARAHONA,
0101 - PEDERNALES,2021-2022,1.4,98.6,0.0,6.4,84.7,8.9,12.2,80.6,7.3,distrito,01 - BARAHONA,0101 - PEDERNALES
0102 - ENRIQUILLO,2021-2022,2.8,97.2,0.0,10.4,76.0,13.6,12.0,82.3,5.8,distrito,01 - BARAHONA,0102 - ENRIQUILLO
0103 - BARAHONA,2021-2022,1.7,98.3,0.0,3.7,85.6,10.7,7.5,86.0,6.4,distrito,01 - BARAHONA,0103 - BARAHONA
0104 - CABRAL,2021-2022,2.3,97.7,0.0,3.8,90.2,6.1,6.6,83.1,10.3,distrito,01 - BARAHONA,0104 - CABRAL
0105 - VICENTE NOBLE,2021-2022,0.1,99.9,0.0,4.0,88.1,7.9,11.5,78.8,9.7,distrito,01 - BARAHONA,0105 - VICENTE NOBLE
02 - SAN JUAN DE LA MAGUANA,2021-2022,1.7,98.3,0.0,4.4,87.3,8.3,7.5,82.7,9.8,regional,02 - SAN JUAN DE LA MAGUANA,
0201 - COMENDADOR,2021-2022,0.7,99.3,0.0,8.3,83.1,8.6,10.8,80.3,8.9,distrito,02 - SAN JUAN DE LA MAGUANA,0201 - COMENDADOR
0202 - PEDRO SANTANA,2021-2022,1.6,98.4,0.0,7.8,82.1,10.0,9.4,83.7,6.9,distrito,02 - SAN JUAN DE LA MAGUANA,0202 - PEDRO SANTANA
0203 - LAS MATAS DE FARFAN,2021-2022,0.3,99.7,0.0,2.1,91.6,6.3,5.3,85.0,9.8,distrito,02 - SAN JUAN DE LA MAGUANA,0203 - LAS MATAS DE FARFAN
0204 - EL CERCADO,2021-2022,4.5,95.5,0.0,3.9,87.6,8.5,8.1,85.6,6.3,distrito,02 - SAN JUAN DE LA MAGUANA,0204 - EL CERCADO
0205 - SAN JUAN ESTE,2021-2022,2.3,97.7,0.0,2.5,90.3,7.2,7.0,82.8,10.2,distrito,02 - SAN JUAN DE LA MAGUANA,0205 - SAN JUAN ESTE
0206 - SAN JUAN OESTE,2021-2022,0.9,99.1,0.0,3.1,89.0,7.9,6.7,81.8,11.4,distrito,02 - SAN JUAN DE LA MAGUANA,0206 - SAN JUAN OESTE
0207 - HONDO VALLE,2021-2022,5.5,94.5,0.0,9.7,71.9,18.4,11.1,79.9,9.0,distrito,02 - SAN JUAN DE LA MAGUANA,0207 - HONDO VALLE
03 - AZUA,2021-2022,1.4,98.6,0.0,3.4,87.6,9.0,6.9,87.6,5.5,regional,03 - AZUA,
0301 - AZUA,2021-2022,1.0,99.0,0.0,3.6,87.1,9.3,7.9,86.0,6.1,distrito,03 - AZUA,0301 - AZUA
0302 - PADRE DE LAS CASAS,2021-2022,1.4,98.6,0.0,4.0,85.9,10.1,8.3,86.0,5.8,distrito,03 - AZUA,0302 - PADRE DE LAS CASAS
0303 - SAN JOSE DE OCOA,2021-2022,1.6,98.4,0.0,2.1,91.0,6.9,5.0,92.1,2.9,distrito,03 - AZUA,0303 - SAN JOSE DE OCOA
0304 - BANI,2021-2022,1.7,98.3,0.0,3.4,87.0,9.6,7.0,87.5,5.5,distrito,03 - AZUA,0304 - BANI
0305 - NIZAO,2021-2022,1.3,98.7,0.0,2.6,92.1,5.3,2.5,91.9,5.5,distrito,03 - AZUA,0305 - NIZAO
04 - SAN CRISTOBAL,2021-2022,1.8,98.2,0.0,1.9,91.1,7.0,4.7,88.5,6.9,regional,04 - SAN CRISTOBAL,
0401 - CAMBITA GARABITOS,2021-2022,2.1,97.9,0.0,2.3,87.9,9.8,4.3,89.3,6.4,distrito,04 - SAN CRISTOBAL,0401 - CAMBITA GARABITOS
0402 - SAN CRISTOBAL NORTE,2021-2022,1.6,98.4,0.0,2.0,91.1,6.9,4.7,85.4,10.0,distrito,04 - SAN CRISTOBAL,0402 - SAN CRISTOBAL NORTE
0403 - SAN CRISTOBAL SUR,2021-2022,0.5,99.5,0.0,1.2,91.6,7.1,2.7,90.7,6.6,distrito,04 - SAN CRISTOBAL,0403 - SAN CRISTOBAL SUR
0404 - VILLA ALTAGRACIA,2021-2022,2.6,97.4,0.0,1.7,92.6,5.6,5.1,88.5,6.4,distrito,04 - SAN CRISTOBAL,0404 - VILLA ALTAGRACIA
0405 - YAGUATE,2021-2022,0.6,99.4,0.0,1.7,87.2,11.1,3.1,91.2,5.7,distrito,04 - SAN CRISTOBAL,0405 - YAGUATE
0406 - HAINA,2021-2022,2.9,97.1,0.0,2.7,91.5,5.8,6.9,88.5,4.6,distrito,04 - SAN CRISTOBAL,0406 - HAINA
0407 - SAN GREGORIO DE NIGUA,2021-2022,1.1,98.9,0.0,1.2,91.6,7.2,4.3,87.2,8.5,distrito,04 - SAN CRISTOBAL,0407 - SAN GREGORIO DE NIGUA
05 - SAN PEDRO DE MACORIS,2021-2022,1.8,98.2,0.0,2.8,91.5,5.7,5.6,88.1,6.3,regional,05 - SAN PEDRO DE MACORIS,
0501 - SAN PEDRO DE MACORIS ESTE,2021-2022,1.7,98.3,0.0,2.1,93.1,4.8,2.8,87.7,9.6,distrito,05 - SAN PEDRO DE MACORIS,0501 - SAN PEDRO DE MACORIS ESTE
0502 - SAN PEDRO DE MACORIS OESTE,2021-2022,1.2,98.8,0.0,1.9,94.1,3.9,4.4,91.6,4.0,distrito,05 - SAN PEDRO DE MACORIS,0502 - SAN PEDRO DE MACORIS OESTE
0503 - LA ROMANA,2021-2022,2.0,98.0,0.0,2.2,93.0,4.8,4.9,90.2,4.9,distrito,05 - SAN PEDRO DE MACORIS,0503 - LA ROMANA
0504 - HATO MAYOR,2021-2022,2.1,97.9,0.0,3.2,90.1,6.7,8.1,85.5,6.4,distrito,05 - SAN PEDRO DE MACORIS,0504 - HATO MAYOR
0505 - SABANA DE LA MAR,2021-2022,4.3,95.7,0.0,5.4,86.3,8.3,12.9,80.8,6.4,distrito,05 - SAN PEDRO DE MACORIS,0505 - SABANA DE LA MAR
0506 - CONSUELO,2021-2022,1.3,98.7,0.0,2.1,92.3,5.6,7.0,84.8,8.3,distrito,05 - SAN PEDRO DE MACORIS,0506 - CONSUELO
0507 - SAN JOSE DE LOS LLANOS,2021-2022,0.4,99.6,0.0,5.7,83.0,11.3,12.0,82.7,5.3,distrito,05 - SAN PEDRO DE MACORIS,0507 - SAN JOSE DE LOS LLANOS
0508 - QUISQUEYA,2021-2022,0.7,99.3,0.0,2.3,87.2,10.5,8.0,79.7,12.3,distrito,05 - SAN PEDRO DE MACORIS,0508 - QUISQUEYA
0509 - EL VALLE,2021-2022,0.7,99.3,0.0,3.2,88.1,8.6,9.5,84.4,6.1,distrito,05 - SAN PEDRO DE MACORIS,0509 - EL VALLE
0510 - GUAYMATE,2021-2022,3.3,96.7,0.0,7.0,84.9,8.1,10.2,80.4,9.4,distrito,05 - SAN PEDRO DE MACORIS,0510 - GUAYMATE
0511 - VILLA HERMOSA,2021-2022,2.1,97.9,0.0,3.3,91.1,5.6,4.3,90.6,5.1,distrito,05 - SAN PEDRO DE MACORIS,0511 - VILLA HERMOSA
06 - LA VEGA,2021-2022,0.8,99.2,0.0,1.5,93.0,5.5,5.3,88.1,6.6,regional,06 - LA VEGA,
0601 - JOSE CONTRERAS,2021-2022,0.0,100.0,0.0,2.8,91.7,5.5,6.7,89.6,3.7,distrito,06 - LA VEGA,0601 - JOSE CONTRERAS
0602 - CONSTANZA,2021-2022,0.6,99.4,0.0,1.6,93.4,5.0,5.5,89.1,5.4,distrito,06 - LA VEGA,0602 - CONSTANZA
0603 - JARABACOA,2021-2022,1.4,98.6,0.0,1.4,92.9,5.7,5.6,90.3,4.0,distrito,06 - LA VEGA,0603 - JARABACOA
0604 - LA VEGA OESTE,2021-2022,0.9,99.1,0.0,1.5,93.5,5.0,4.6,88.4,6.9,distrito,06 - LA VEGA,0604 - LA VEGA OESTE
0605 - LA VEGA ESTE,2021-2022,0.4,99.6,0.0,1.6,92.9,5.5,4.0,90.3,5.7,distrito,06 - LA VEGA,0605 - LA VEGA ESTE
0606 - MOCA,2021-2022,0.5,99.5,0.0,1.3,93.1,5.6,5.9,85.9,8.2,distrito,06 - LA VEGA,0606 - MOCA
0607 - GASPAR HERNANDEZ,2021-2022,3.1,96.9,0.0,0.9,95.6,3.5,7.1,87.0,5.9,distrito,06 - LA VEGA,0607 - GASPAR HERNANDEZ
0608 - JAMAO AL NORTE,2021-2022,1.7,98.3,0.0,2.6,88.9,8.5,8.0,87.0,5.0,distrito,06 - LA VEGA,0608 - JAMAO AL NORTE
0609 - SAN VICTOR,2021-2022,0.0,100.0,0.0,1.9,90.6,7.5,8.8,82.5,8.6,distrito,06 - LA VEGA,0609 - SAN VICTOR
0610 - JIMA ABAJO,2021-2022,0.2,99.8,0.0,1.6,89.8,8.6,4.4,84.2,11.4,distrito,06 - LA VEGA,0610 - JIMA ABAJO
07 - SAN FRANCISCO DE MACORIS,2021-2022,1.5,98.5,0.0,2.0,91.8,6.2,8.2,85.3,6.5,regional,07 - SAN FRANCISCO DE MACORIS,
0701 - TENARES,2021-2022,1.5,98.5,0.0,1.5,93.7,4.8,4.1,91.2,4.8,distrito,07 - SAN FRANCISCO DE MACORIS,0701 - TENARES
0702 - SALCEDO,2021-2022,0.5,99.5,0.0,1.0,95.6,3.4,6.5,87.1,6.4,distrito,07 - SAN FRANCISCO DE MACORIS,0702 - SALCEDO
0703 - CASTILLO,2021-2022,1.8,98.2,0.0,1.7,89.6,8.7,6.6,86.2,7.2,distrito,07 - SAN FRANCISCO DE MACORIS,0703 - CASTILLO
0704 - VILLA RIVA,2021-2022,0.5,99.5,0.0,2.2,90.8,7.0,8.9,81.0,10.1,distrito,07 - SAN FRANCISCO DE MACORIS,0704 - VILLA RIVA
0705 - SAN FRANCISCO DE MACORIS SUR-E,2021-2022,2.4,97.6,0.0,2.1,91.1,6.8,11.7,82.0,6.3,distrito,07 - SAN FRANCISCO DE MACORIS,0705 - SAN FRANCISCO DE MACORIS SUR-E
0706 - SAN FRANCISCO DE MACORIS NOR-O,2021-2022,1.3,98.7,0.0,2.7,91.8,5.6,7.4,86.9,5.7,distrito,07 - SAN FRANCISCO DE MACORIS,0706 - SAN FRANCISCO DE MACORIS NOR-O
0707 - VILLA TAPIA,2021-2022,0.8,99.2,0.0,1.0,92.6,6.4,4.2,90.3,5.5,distrito,07 - SAN FRANCISCO DE MACORIS,0707 - VILLA TAPIA
08 - SANTIAGO,2021-2022,1.5,98.5,0.0,1.7,92.8,5.6,5.2,87.9,6.9,regional,08 - SANTIAGO,
0801 - SAN JOSE DE LAS MATAS,2021-2022,1.9,98.1,0.0,1.9,90.1,8.0,4.9,89.4,5.7,distrito,08 - SANTIAGO,0801 - SAN JOSE DE LAS MATAS
0802 - JANICO,2021-2022,1.5,98.5,0.0,2.3,88.7,8.9,8.0,86.2,5.8,distrito,08 - SANTIAGO,0802 - JANICO
0803 - SANTIAGO SUR-ESTE,2021-2022,1.4,98.6,0.0,1.7,93.3,5.0,4.8,90.2,5.0,distrito,08 - SANTIAGO,0803 - SANTIAGO SUR-ESTE
0804 - SANTIAGO NOROESTE,2021-2022,1.0,99.0,0.0,1.8,92.5,5.7,5.0,86.9,8.1,distrito,08 - SANTIAGO,0804 - SANTIAGO NOROESTE
0805 - SANTIAGO CENTRO-OESTE,2021-2022,1.6,98.4,0.0,1.4,92.7,5.9,5.9,86.7,7.4,distrito,08 - SANTIAGO,0805 - SANTIAGO CENTRO-OESTE
0806 - SANTIAGO NORESTE,2021-2022,2.6,97.4,0.0,1.1,95.6,3.3,4.6,89.7,5.8,distrito,08 - SANTIAGO,0806 - SANTIAGO NORESTE
0807 - VILLA BISONO (NAVARRETE),2021-2022,1.5,98.5,0.0,1.5,92.1,6.4,4.6,87.7,7.7,distrito,08 - SANTIAGO,0807 - VILLA BISONO (NAVARRETE)
0808 - LICEY AL MEDIO,2021-2022,0.7,99.3,0.0,2.1,91.9,5.9,6.4,87.1,6.5,distrito,08 - SANTIAGO,0808 - LICEY AL MEDIO
0809 - TAMBORIL,2021-2022,1.6,98.4,0.0,1.6,93.5,5.0,4.8,89.9,5.3,distrito,08 - SANTIAGO,0809 - TAMBORIL
0810 - VILLA GONZALEZ,2021-2022,1.8,98.2,0.0,2.3,90.5,7.2,5.9,83.2,10.9,distrito,08 - SANTIAGO,0810 - VILLA GONZALEZ
09 - MAO,2021-2022,2.8,97.2,0.0,2.7,89.0,8.3,6.6,86.3,7.1,regional,09 - MAO,
0901 - MAO,2021-2022,3.0,97.0,0.0,2.7,90.3,7.0,5.2,88.2,6.6,distrito,09 - MAO,0901 - MAO
0902 - ESPERANZA,2021-2022,3.9,96.1,0.0,3.4,86.2,10.4,9.7,80.1,10.2,distrito,09 - MAO,0902 - ESPERANZA
0903 - SAN IGNACIO DE SABANETA,2021-2022,2.7,97.3,0.0,1.4,91.4,7.1,4.3,91.4,4.3,distrito,09 - MAO,0903 - SAN IGNACIO DE SABANETA
0904 - MONCION,2021-2022,1.2,98.8,0.0,2.8,90.8,6.4,7.2,87.8,4.9,distrito,09 - MAO,0904 - MONCION
0905 - LAGUNA SALADA,2021-2022,2.1,97.9,0.0,2.9,89.5,7.6,6.6,86.6,6.8,distrito,09 - MAO,0905 - LAGUNA SALADA
0906 - VILLA LOS ALMACIGOS,2021-2022,0.0,100.0,0.0,2.3,85.4,12.2,5.2,89.8,5.0,distrito,09 - MAO,0906 - VILLA LOS ALMACIGOS
10 - SANTO DOMINGO,2021-2022,1.5,98.5,0.0,1.9,93.9,4.2,3.7,91.4,4.9,regional,10 - SANTO DOMINGO,
1001 - VILLA MELLA,2021-2022,1.4,98.6,0.0,2.2,93.4,4.4,4.1,89.5,6.4,distrito,10 - SANTO DOMINGO,1001 - VILLA MELLA
1002 - SABANA PERDIDA,2021-2022,1.4,98.6,0.0,1.6,93.8,4.6,3.9,91.1,4.9,distrito,10 - SANTO DOMINGO,1002 - SABANA PERDIDA
1003 - SANTO DOMINGO NORESTE,2021-2022,1.6,98.4,0.0,1.8,93.1,5.1,4.5,89.7,5.8,distrito,10 - SANTO DOMINGO,1003 - SANTO DOMINGO NORESTE
1004 - SANTO DOMINGO ORIENTAL,2021-2022,1.2,98.8,0.0,1.5,95.4,3.1,2.5,94.5,3.0,distrito,10 - SANTO DOMINGO,1004 - SANTO DOMINGO ORIENTAL
1005 - BOCA CHICA,2021-2022,1.7,98.3,0.0,2.9,90.5,6.6,4.1,89.3,6.6,distrito,10 - SANTO DOMINGO,1005 - BOCA CHICA
1006 - MENDOZA,2021-2022,1.5,98.5,0.0,1.5,96.2,2.3,3.3,93.2,3.5,distrito,10 - SANTO DOMINGO,1006 - MENDOZA
1007 - SAN ANTONIO DE GUERRA,2021-2022,2.4,97.6,0.0,1.6,92.4,5.9,4.4,92.2,3.4,distrito,10 - SANTO DOMINGO,1007 - SAN ANTONIO DE GUERRA
11 - PUERTO PLATA,2021-2022,1.6,98.4,0.0,1.6,93.2,5.2,5.9,88.5,5.6,regional,11 - PUERTO PLATA,
1101 - SOSUA,2021-2022,1.2,98.8,0.0,2.5,91.1,6.3,5.5,89.5,5.0,distrito,11 - PUERTO PLATA,1101 - SOSUA
1102 - PUERTO PLATA,2021-2022,2.2,97.8,0.0,1.0,95.1,3.9,5.9,87.8,6.2,distrito,11 - PUERTO PLATA,1102 - PUERTO PLATA
1103 - IMBERT,2021-2022,1.4,98.6,0.0,1.4,92.2,6.3,5.5,91.7,2.8,distrito,11 - PUERTO PLATA,1103 - IMBERT
1104 - LUPERON,2021-2022,0.8,99.2,0.0,1.9,91.3,6.8,7.4,83.6,9.0,distrito,11 - PUERTO PLATA,1104 - LUPERON
1105 - ALTAMIRA,2021-2022,0.8,99.2,0.0,2.0,92.3,5.6,2.7,94.8,2.5,distrito,11 - PUERTO PLATA,1105 - ALTAMIRA
1106 - EL MAMEY,2021-2022,0.6,99.4,0.0,1.2,92.2,6.6,5.3,87.1,7.6,distrito,11 - PUERTO PLATA,1106 - EL MAMEY
1107 - VILLA ISABELA,2021-2022,0.0,100.0,0.0,0.8,93.0,6.2,10.8,84.9,4.3,distrito,11 - PUERTO PLATA,1107 - VILLA ISABELA
12 - HIGUEY,2021-2022,2.0,98.0,0.0,3.6,88.8,7.6,6.0,86.1,7.9,regional,12 - HIGUEY,
1201 - HIGUEY,2021-2022,2.0,98.0,0.0,3.3,90.9,5.8,5.6,86.0,8.4,distrito,12 - HIGUEY,1201 - HIGUEY
1202 - SAN RAFAEL DEL YUMA,2021-2022,3.1,96.9,0.0,7.0,81.6,11.4,10.6,84.3,5.1,distrito,12 - HIGUEY,1202 - SAN RAFAEL DEL YUMA
1203 - EL SEIBO,2021-2022,1.4,98.6,0.0,3.4,82.6,13.9,5.0,86.6,8.4,distrito,12 - HIGUEY,1203 - EL SEIBO
1204 - MICHES,2021-2022,2.0,98.0,0.0,4.1,87.0,8.9,8.8,87.8,3.5,distrito,12 - HIGUEY,1204 - MICHES
13 - MONTE CRISTI,2021-2022,1.4,98.6,0.0,3.9,90.8,5.3,7.7,87.1,5.2,regional,13 - MONTE CRISTI,
1301 - MONTE CRISTI,2021-2022,2.7,97.3,0.0,5.4,90.4,4.2,8.4,86.7,4.9,distrito,13 - MONTE CRISTI,1301 - MONTE CRISTI
1302 - GUAYUBIN,2021-2022,0.7,99.3,0.0,4.7,92.5,2.8,6.5,88.8,4.7,distrito,13 - MONTE CRISTI,1302 - GUAYUBIN
1303 - VILLA VASQUEZ,2021-2022,1.2,98.8,0.0,2.7,94.2,3.0,10.9,85.2,3.9,distrito,13 - MONTE CRISTI,1303 - VILLA VASQUEZ
