regional_distrito,año_lectivo,tipo,regional,distrito,valor,indicador,nivel
TOTAL,2021-2022,total,,,1.6,abandono,INICIAL
01 - BARAHONA,2021-2022,regional,01 - BARAHONA,,1.6,abandono,INICIAL
0101 - PEDERNALES,2021-2022,distrito,01 - BARAHONA,0101 - PEDERNALES,1.4,abandono,INICIAL
0102 - ENRIQUILLO,2021-2022,distrito,01 - BARAHONA,0102 - ENRIQUILLO,2.8,abandono,INICIAL
0103 - BARAHONA,2021-2022,distrito,01 - BARAHONA,0103 - BARAHONA,1.7,abandono,INICIAL
0104 - CABRAL,2021-2022,distrito,01 - BARAHONA,0104 - CABRAL,2.3,abandono,INICIAL
0105 - VICENTE NOBLE,2021-2022,distrito,01 - BARAHONA,0105 - VICENTE NOBLE,0.1,abandono,INICIAL
02 - SAN JUAN DE LA MAGUANA,2021-2022,regional,02 - SAN JUAN DE LA MAGUANA,,1.7,abandono,INICIAL
0201 - COMENDADOR,2021-2022,distrito,02 - SAN JUAN DE LA MAGUANA,0201 - COMENDADOR,0.7,abandono,INICIAL
0202 - PEDRO SANTANA,2021-2022,distrito,02 - SAN JUAN DE LA MAGUANA,0202 - PEDRO SANTANA,1.6,abandono,INICIAL
0203 - LAS MATAS DE FARFAN,2021-2022,distrito,02 - SAN JUAN DE LA MAGUANA,0203 - LAS MATAS DE FARFAN,0.3,abandono,INICIAL
0204 - EL CERCADO,2021-2022,distrito,02 - SAN JUAN DE LA MAGUANA,0204 - EL CERCADO,4.5,abandono,INICIAL
0205 - SAN JUAN ESTE,2021-2022,distrito,02 - SAN JUAN DE LA MAGUANA,0205 - SAN JUAN ESTE,2.3,abandono,INICIAL
0206 - SAN JUAN OESTE,2021-2022,distrito,02 - SAN JUAN DE LA MAGUANA,0206 - SAN JUAN OESTE,0.9,abandono,INICIAL
0207 - HONDO VALLE,2021-2022,distrito,02 - SAN JUAN DE LA MAGUANA,0207 - HONDO VALLE,5.5,abandono,INICIAL
03 - AZUA,2021-2022,regional,03 - AZUA,,1.4,abandono,INICIAL
0301 - AZUA,2021-2022,distrito,03 - AZUA,0301 - AZUA,1.0,abandono,INICIAL
0302 - PADRE DE LAS CASAS,2021-2022,distrito,03 - AZUA,0302 - PADRE DE LAS CASAS,1.4,abandono,INICIAL
0303 - SAN JOSE DE OCOA,2021-2022,distrito,03 - AZUA,0303 - SAN JOSE DE OCOA,1.6,abandono,INICIAL
0304 - BANI,2021-2022,distrito,03 - AZUA,0304 - BANI,1.7,abandono,INICIAL
0305 - NIZAO,2021-2022,distrito,03 - AZUA,0305 - NIZAO,1.3,abandono,INICIAL
04 - SAN CRISTOBAL,2021-2022,regional,04 - SAN CRISTOBAL,,1.8,abandono,INICIAL
0401 - CAMBITA GARABITOS,2021-2022,distrito,04 - SAN CRISTOBAL,0401 - CAMBITA GARABITOS,2.1,abandono,INICIAL
0402 - SAN CRISTOBAL NORTE,2021-2022,distrito,04 - SAN CRISTOBAL,0402 - SAN CRISTOBAL NORTE,1.6,abandono,INICIAL
0403 - SAN CRISTOBAL SUR,2021-2022,distrito,04 - SAN CRISTOBAL,0403 - SAN CRISTOBAL SUR,0.5,abandono,INICIAL
0404 - VILLA ALTAGRACIA,2021-2022,distrito,04 - SAN CRISTOBAL,0404 - VILLA ALTAGRACIA,2.6,abandono,INICIAL
0405 - YAGUATE,2021-2022,distrito,04 - SAN CRISTOBAL,0405 - YAGUATE,0.6,abandono,INICIAL
0406 - HAINA,2021-2022,distrito,04 - SAN CRISTOBAL,0406 - HAINA,2.9,abandono,INICIAL
0407 - SAN GREGORIO DE NIGUA,2021-2022,distrito,04 - SAN CRISTOBAL,0407 - SAN GREGORIO DE NIGUA,1.1,abandono,INICIAL
05 - SAN PEDRO DE MACORIS,2021-2022,regional,05 - SAN PEDRO DE MACORIS,,1.8,abandono,INICIAL
0501 - SAN PEDRO DE MACORIS ESTE,2021-2022,distrito,05 - SAN PEDRO DE MACORIS,0501 - SAN PEDRO DE MACORIS ESTE,1.7,abandono,INICIAL
0502 - SAN PEDRO DE MACORIS OESTE,2021-2022,distrito,05 - SAN PEDRO DE MACORIS,0502 - SAN PEDRO DE MACORIS OESTE,1.2,abandono,INICIAL
0503 - LA ROMANA,2021-2022,distrito,05 - SAN PEDRO DE MACORIS,0503 - LA ROMANA,2.0,abandono,INICIAL
0504 - HATO MAYOR,2021-2022,distrito,05 - SAN PEDRO DE MACORIS,0504 - HATO MAYOR,2.1,abandono,INICIAL
0505 - SABANA DE LA MAR,2021-2022,distrito,05 - SAN PEDRO DE MACORIS,0505 - SABANA DE LA MAR,4.3,abandono,INICIAL
0506 - CONSUELO,2021-2022,distrito,05 - SAN PEDRO DE MACORIS,0506 - CONSUELO,1.3,abandono,INICIAL
0507 - SAN JOSE DE LOS LLANOS,2021-2022,distrito,05 - SAN PEDRO DE MACORIS,0507 - SAN JOSE DE LOS LLANOS,0.4,abandono,INICIAL
