Regional;Distrito;Centros;Sector;Nivel;Coordenadas Latitud;Coordenadas Longitud;Matricula;Planta Fisica;Provincia;Municipio;Año
01 - BARAHONA;0101 - PEDERNALES;02334 - HERNANDO GORJON;PUBLICO;INICIAL - PRIMARIO - SECUNDARIO;18.032553;-71.746648;710;16000218 - HERNANDO GORJON;PEDERNALES;PEDERNALES;20222023
01 - BARAHONA;0101 - PEDERNALES;02335 - BIENVENIDO MORILLO;PUBLICO;INICIAL - PRIMARIO;18.045131;-71.743074;523;16000416 - BIENVENIDO MORILLO;PEDERNALES;PEDERNALES;20222023
01 - BARAHONA;0101 - PEDERNALES;02336 - EZEQUIEL HERNANDEZ MENDEZ;PUBLICO;INICIAL - PRIMARIO - SECUNDARIO;18.040663;-71.748256;652;16000812 - EZEQUIEL HERNANDEZ MENDEZ;PEDERNALES;PEDERNALES;20222023
01 - BARAHONA;0101 - PEDERNALES;02337 - EULALIO EMILIO MANCEBO REYES;PUBLICO;INICIAL - PRIMARIO;18.086838;-71.665969;76;16001015 - EULALIO EMILIO MANCEBO REYES;PEDERNALES;PEDERNALES;20222023
01 - BARAHONA;0101 - PEDERNALES;02338 - ARSENIO PEREZ PEÑA;PUBLICO;INICIAL - PRIMARIO;18.173358;-71.742050;60;16001119 - ARSENIO PEREZ PEÑA;PEDERNALES;PEDERNALES;20222023
01 - BARAHONA;0101 - PEDERNALES;02339 - PROF. LUIS DIAZ DIAZ;PUBLICO;INICIAL - PRIMARIO - SECUNDARIO;18.188897;-71.726246;251;16001411 - PROF. LUIS DIAZ DIAZ;PEDERNALES;PEDERNALES;20222023
01 - BARAHONA;0101 - PEDERNALES;02341 - COLONIA LOS ARROYOS;PUBLICO;PRIMARIO;18.236142;-71.753032;65;16001713 - COLONIA LOS ARROYOS;PEDERNALES;PEDERNALES;20222023
01 - BARAHONA;0101 - PEDERNALES;02342 - BELARMINIO FERNANDEZ HERNANDEZ;PUBLICO;PRIMARIO;18.146317;-71.700072;101;16001911 - BELARMINIO FERNANDEZ HERNANDEZ;PEDERNALES;PEDERNALES;20222023
01 - BARAHONA;0101 - PEDERNALES;02343 - ADELAIDA DIAZ;PUBLICO;INICIAL - PRIMARIO;18.16494;71.701323;256;16002010 - ADELAIDA DIAZ;PEDERNALES;PEDERNALES;20222023
01 - BARAHONA;0101 - PEDERNALES;02344 - HIGO GRANDE;PUBLICO;PRIMARIO;18.184842;-71.68978;48;16002218 - HIGO GRANDE;PEDERNALES;PEDERNALES;20222023
01 - BARAHONA;0101 - PEDERNALES;02345 - GASTON FERNANDO DELIGNE;PUBLICO;INICIAL - PRIMARIO;17.8021;-71.401;642;16002510 - GASTON FERNANDO DELIGNE;PEDERNALES;OVIEDO;20222023
01 - BARAHONA;0101 - PEDERNALES;02347 - PROF. JOSE EUGENIO PEREZ TERRERO;PUBLICO;INICIAL - PRIMARIO - SECUNDARIO;17.853626;-71.329237;399;16002916 - PROF. JOSE EUGENIO PEREZ TERRERO;PEDERNALES;OVIEDO;20222023
01 - BARAHONA;0101 - PEDERNALES;02348 - JUANCHO;PUBLICO;INICIAL - PRIMARIO;17.8587;-71.2933;475;16003213 - JUANCHO;PEDERNALES;OVIEDO;20222023
